Method:,Hadamard 1,,
Host Date-Time:,21/4/22 @ 16:25:28,,
Header Version:,1,,
System Temp (C):,34.25,,
Detector Temp (C):,0,,
Humidity (%):,56.74,,
Lamp PD:,3419,,
Shift Vector Coefficients:,-1.66903,0.0218938,-6.22E-05
Pixel to Wavelength Coefficients:,1813.49,-0.916957,-0.000241161
Serial Number:,6110023,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,7.03,,
Exposure (ms):,0.635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.458,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1509.788942,1.37496,617236,26031
1512.981138,1.369876,613309,26170
1516.168993,1.371443,608165,25857
1519.352506,1.374144,604219,25530
1522.531679,1.381386,599460,24910
1525.706511,1.382026,594149,24653
1528.877003,1.378416,588992,24643
1532.043153,1.375578,583636,24579
1535.204962,1.368878,577975,24719
1538.362431,1.36264,571876,24812
1541.515558,1.352295,566044,25151
1544.664345,1.34146,559692,25497
1548.855975,1.339165,550650,25218
1551.994632,1.331701,544014,25346
1555.128949,1.334778,537009,24843
1558.258926,1.331715,529951,24690
1561.384561,1.337939,522425,23993
1564.505855,1.345524,514612,23225
1567.622808,1.34876,506919,22708
1570.735421,1.356147,498813,21968
1573.843693,1.360853,490337,21362
1576.947623,1.364177,481799,20830
1580.047213,1.364429,473169,20445
1583.142462,1.376708,464240,19500
1586.23337,1.371049,454846,19356
1590.347828,1.365088,443037,19114
1593.428607,1.354334,433603,19176
1596.505046,1.331959,424822,19781
1599.577143,1.319138,415467,19925
1602.6449,1.306863,405875,20023
1605.708315,1.281174,396167,20735
1608.76739,1.262979,386270,21082
1611.822124,1.245928,377335,21419
1614.872517,1.221878,367141,22027
1617.918569,1.207126,357522,22191
1620.96028,1.192046,348309,22383
1623.99765,1.175737,339503,22652
1628.040725,1.150655,327369,23141
1631.067966,1.135735,318336,23289
1634.090867,1.114614,309136,23743
1637.109426,1.101724,300336,23762
1640.123645,1.090755,291009,23613
1643.133523,1.079203,281990,23498
1646.13906,1.069362,272399,23219
1649.140256,1.053425,262607,23221
1652.137111,1.052105,252745,22417
1655.129625,1.031078,241734,22504
1658.117799,1.024789,229810,21706
1661.101631,1.000143,215801,21573
1665.073322,0.97222,193911,20672
1668.047026,0.949795,174674,19608
1671.016388,0.924775,154518,18374
1673.98141,0.907366,134114,16600
1676.942091,0.884203,114602,14962
1679.898431,0.880192,96807,12756
1682.85043,0.89375,81602,10422
1685.798089,0.935534,68378,7932
1688.741406,0.964016,57834,6283
1691.680383,0.964185,49219,5345
1694.615018,0.946542,42034,4754
1697.545313,0.905669,36142,4491
1701.44562,0.88294,29564,3871
