Method:,Hadamard 1,,
Host Date-Time:,30/5/22 @ 18:59:0,,
Header Version:,1,,
System Temp (C):,36.59,,
Detector Temp (C):,0,,
Humidity (%):,74.46,,
Lamp PD:,3590,,
Shift Vector Coefficients:,-1.66903,0.0218938,-6.22E-05
Pixel to Wavelength Coefficients:,1813.49,-0.916957,-0.000241161
Serial Number:,6110023,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,7.03,,
Exposure (ms):,0.635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.451,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1509.788942,1.131305,617236,45619
1512.981138,1.130633,613309,45399
1516.168993,1.131224,608165,44957
1519.352506,1.134144,604219,44366
1522.531679,1.137567,599460,43671
1525.706511,1.141519,594149,42892
1528.877003,1.140516,588992,42618
1532.043153,1.138766,583636,42401
1535.204962,1.137184,577975,42143
1538.362431,1.136916,571876,41724
1541.515558,1.135095,566044,41472
1544.664345,1.130456,559692,41447
1548.855975,1.128834,550650,40930
1551.994632,1.127512,544014,40560
1555.128949,1.126859,537009,40098
1558.258926,1.128233,529951,39446
1561.384561,1.126336,522425,39056
1564.505855,1.126448,514612,38462
1567.622808,1.125235,506919,37993
1570.735421,1.125973,498813,37322
1573.843693,1.125829,490337,36700
1576.947623,1.125732,481799,36069
1580.047213,1.12403,473169,35562
1583.142462,1.124291,464240,34870
1586.23337,1.124258,454846,34167
1590.347828,1.123878,443037,33309
1593.428607,1.122067,433603,32736
1596.505046,1.120729,424822,32172
1599.577143,1.119124,415467,31580
1602.6449,1.120081,405875,30783
1605.708315,1.116579,396167,30290
1608.76739,1.114208,386270,29695
1611.822124,1.113207,377335,29075
1614.872517,1.109958,367141,28502
1617.918569,1.107994,357522,27881
1620.96028,1.108435,348309,27135
1623.99765,1.106665,339503,26557
1628.040725,1.103889,327369,25772
1631.067966,1.105572,318336,24964
1634.090867,1.099939,309136,24559
1637.109426,1.101523,300336,23773
1640.123645,1.099243,291009,23156
1643.133523,1.09954,281990,22423
1646.13906,1.097008,272399,21787
1649.140256,1.095786,262607,21063
1652.137111,1.094118,252745,20350
1655.129625,1.090108,241734,19644
1658.117799,1.080336,229810,19100
1661.101631,1.072576,215801,18259
1665.073322,1.056209,193911,17037
1668.047026,1.038081,174674,16001
1671.016388,1.018014,154518,14824
1673.98141,0.996241,134114,13528
1676.942091,0.974044,114602,12166
1679.898431,0.954256,96807,10756
1682.85043,0.945137,81602,9259
1685.798089,0.937894,68378,7889
1688.741406,0.936368,57834,6696
1691.680383,0.93855,49219,5670
1694.615018,0.941095,42034,4814
1697.545313,0.93798,36142,4169
1701.44562,0.946627,29564,3343
