Method:,Hadamard 1,,
1090.252969,0.981045,403068,42105
1093.97186,0.98486,406200,42061
1097.686411,0.988393,409002,42008
1101.396621,0.991157,410878,41933
1105.10249,0.995723,412864,41695
1108.804018,0.999314,415004,41566
1112.501205,1.002514,416484,41408
1116.194051,1.00667,417087,41073
1121.111093,1.011522,418497,40754
1124.793811,1.017037,419748,40360
1128.472187,1.020947,419934,40016
1132.146223,1.030482,420245,39176
1135.815917,1.038999,420439,38433
1139.481271,1.049829,420703,37510
1143.142284,1.061454,420850,36532
1146.798956,1.072348,421771,35705
1150.451287,1.079026,422045,35183
1154.099277,1.085068,422934,34770
1157.742927,1.088654,423730,34549
1161.382235,1.091691,424814,34396
1166.227894,1.094654,426703,34314
1169.857073,1.093743,428315,34516
1173.481912,1.094728,430631,34624
1177.10241,1.094983,433684,34849
1180.718567,1.094818,436430,35083
1184.330383,1.093736,440333,35485
1187.937858,1.095032,446216,35852
1191.540992,1.095703,452603,36309
1195.139786,1.094536,457940,36836
1198.734238,1.094972,464099,37294
1202.324349,1.094089,470422,37879
1205.91012,1.092676,477509,38575
1209.49155,1.0899,484442,39386
1214.260037,1.087594,494430,40412
1217.831338,1.08506,503023,41355
1221.398298,1.081468,510557,42323
1224.960917,1.079548,518370,43161
1228.519195,1.077105,525876,44033
1232.073133,1.074231,534924,45088
1235.622729,1.070238,543735,46254
1239.167985,1.069061,552416,47120
1242.708899,1.06528,560133,48196
1246.245473,1.062402,569272,49308
1249.777706,1.061417,579005,50265
1253.305598,1.059988,587987,51213
1258.002701,1.059121,599694,52337
1261.520465,1.05806,608633,53247
1265.033887,1.056254,616784,54185
1268.542968,1.055912,625091,54958
1272.047709,1.055394,634956,55892
1275.548108,1.055077,645504,56862
1279.044167,1.054492,655587,57828
1282.535885,1.053975,663922,58633
1286.023262,1.055011,671751,59183
1289.506298,1.055385,679680,59830
1292.984993,1.05727,686584,60176
1296.459347,1.059028,693263,60516
1301.085067,1.061464,699708,60737
1304.549292,1.06182,704249,61081
1308.009177,1.062425,708001,61321
1311.46472,1.065149,711016,61197
1314.915923,1.06518,714948,61531
1318.362785,1.066562,718007,61598
1321.805306,1.068246,720446,61568
1325.243486,1.069603,721901,61500
1328.677325,1.071147,722847,61362
1332.106823,1.070897,724020,61497
1335.53198,1.071566,724288,61425
1338.952797,1.073226,723120,61092
1343.507133,1.073595,722219,60964
1346.91782,1.074703,721047,60710
1350.324167,1.0753,719268,60477
1353.726173,1.077532,716267,59916
1357.123838,1.079535,714485,59492
1360.517162,1.081123,712680,59125
1363.906145,1.081081,710356,58938
1367.290787,1.081147,707390,58683
1370.671089,1.080938,704592,58479
1374.047049,1.079751,702177,58438
1377.418669,1.082138,700827,58006
1380.785947,1.082292,698550,57797
1384.148885,1.082456,697218,57665
1388.62605,1.081925,697174,57732
1391.978858,1.084306,696224,57338
1395.327327,1.084521,693847,57114
1398.671454,1.087165,692095,56624
1402.01124,1.089094,690007,56203
1405.346685,1.090896,687514,55768
1408.67779,1.095386,684705,54969
1412.004553,1.098715,682706,54390
1415.326976,1.102627,680752,53748
1418.645058,1.104396,678470,53350
1421.958799,1.108481,676178,52672
1425.268199,1.109672,674481,52396
1429.67398,1.114185,673255,51760
1432.973251,1.116638,671666,51347
1436.268181,1.117778,670192,51100
1439.55877,1.120409,670398,50807
1442.845019,1.121074,669786,50683
1446.126927,1.122905,668555,50377
1449.404493,1.124319,667527,50136
1452.677719,1.124964,667145,50033
1455.946604,1.125021,666259,49960
1459.211148,1.126069,664888,49737
1462.471351,1.126021,662596,49571
1465.727213,1.12685,660339,49308
1470.06161,1.127371,657083,49006
1473.307344,1.12722,654268,48813
1476.548736,1.128007,651345,48507
1479.785788,1.128833,649168,48253
1483.018499,1.127999,646768,48167
1486.246869,1.127092,643543,48027
1489.470897,1.127127,640272,47779
1492.690586,1.127539,637177,47503
1495.905933,1.127447,633998,47276
1499.116939,1.126614,630441,47101
1502.323604,1.126976,626492,46767
1505.525929,1.126321,622498,46539
1509.788942,1.126477,617236,46129
1512.981138,1.125687,613309,45919
1516.168993,1.126621,608165,45436
1519.352506,1.129684,604219,44824
1522.531679,1.132672,599460,44166
1525.706511,1.136586,594149,43382
1528.877003,1.136136,588992,43050
1532.043153,1.134323,583636,42837
1535.204962,1.131664,577975,42682
1538.362431,1.131095,571876,42287
1541.515558,1.131155,566044,41850
1544.664345,1.125238,559692,41948
1548.855975,1.122681,550650,41514
1551.994632,1.121779,544014,41099
1555.128949,1.12273,537009,40481
1558.258926,1.121536,529951,40059
1561.384561,1.121306,522425,39511
1564.505855,1.120493,514612,38993
1567.622808,1.120313,506919,38426
1570.735421,1.121228,498813,37732
1573.843693,1.120372,490337,37164
1576.947623,1.120716,481799,36488
1580.047213,1.119547,473169,35931
1583.142462,1.119867,464240,35227
1586.23337,1.118286,454846,34640
1590.347828,1.116445,443037,33884
1593.428607,1.117291,433603,33098
1596.505046,1.115456,424822,32565
1599.577143,1.114324,415467,31931
1602.6449,1.11552,405875,31108
1605.708315,1.112384,396167,30584
1608.76739,1.110291,386270,29964
1611.822124,1.108986,377335,29359
1614.872517,1.105003,367141,28829
1617.918569,1.101608,357522,28294
1620.96028,1.102932,348309,27481
1623.99765,1.101382,339503,26882
1628.040725,1.100398,327369,25980
1631.067966,1.099096,318336,25339
1634.090867,1.095295,309136,24823
1637.109426,1.096456,300336,24052
1640.123645,1.094561,291009,23407
1643.133523,1.093615,281990,22731
1646.13906,1.092171,272399,22031
1649.140256,1.091375,262607,21278
1652.137111,1.087132,252745,20680
1655.129625,1.083134,241734,19962
1658.117799,1.076803,229810,19256
1661.101631,1.066295,215801,18525
1665.073322,1.049883,193911,17287
1668.047026,1.03191,174674,16230
1671.016388,1.012396,154518,15017
1673.98141,0.990849,134114,13697
1676.942091,0.965141,114602,12418
1679.898431,0.946096,96807,10960
1682.85043,0.940147,81602,9366
1685.798089,0.93685,68378,7908
1688.741406,0.925163,57834,6871
1691.680383,0.936944,49219,5691
1694.615018,0.934558,42034,4887
1697.545313,0.939546,36142,4154
1701.44562,0.949756,29564,3319
