Method:,Hadamard 1,,
Host Date-Time:,30/5/22 @ 19:30:26,,
Header Version:,1,,
System Temp (C):,36.53,,
Detector Temp (C):,0,,
Humidity (%):,75.39,,
Lamp PD:,3599,,
Shift Vector Coefficients:,-1.66903,0.0218938,-6.22E-05
Pixel to Wavelength Coefficients:,1813.49,-0.916957,-0.000241161
Serial Number:,6110023,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,7.03,,
Exposure (ms):,0.635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.456,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.398183,1.081309,66710,5532
905.331226,1.088556,78157,6374
909.259927,1.084534,86609,7129
913.184288,1.08835,93489,7628
917.104308,1.090317,100845,8191
921.019987,1.086889,109482,8963
924.931325,1.078504,119909,10008
930.13969,1.083367,137192,11323
934.0409,1.084076,152853,12595
937.937768,1.077109,169744,14213
941.830296,1.076738,186508,15630
945.718482,1.072197,202505,17149
949.602328,1.069914,217278,18497
953.481833,1.069102,230871,19691
957.356997,1.06792,244614,20920
961.22782,1.065813,258290,22197
965.094302,1.063887,272207,23497
968.956444,1.061545,285930,24815
972.814244,1.051603,299324,26579
976.667703,1.049739,312317,27852
981.798897,1.042056,328323,29802
985.642228,1.04033,339047,30898
989.481217,1.036585,347929,31982
993.315866,1.032517,355969,33029
997.146174,1.027512,362225,33999
1000.972141,1.023573,367316,34791
1004.793768,1.018667,370988,35538
1008.611053,1.017494,373767,35901
1012.423997,1.01183,375552,36546
1016.232601,1.009042,376293,36854
1020.036863,1.004043,376711,37322
1023.836785,0.999543,377323,37772
1028.896595,0.995419,377418,38142
1032.686388,0.993336,377404,38324
1036.47184,0.987939,377110,38773
1040.252951,0.984092,377014,39108
1044.029721,0.982176,376852,39264
1047.80215,0.9803,377578,39510
1051.570239,0.976519,378360,39938
1055.333986,0.975482,379943,40201
1059.093393,0.975427,381341,40354
1062.848459,0.974987,382852,40555
1066.599184,0.975303,385285,40783
1070.345568,0.975236,388277,41106
1075.333994,0.976916,391754,41314
1079.070249,0.977056,394773,41619
1082.802163,0.979564,397689,41685
1086.529736,0.980354,400401,41893
