Method:,Hadamard 1,,
Host Date-Time:,30/5/22 @ 18:54:39,,
Header Version:,1,,
System Temp (C):,36.59,,
Detector Temp (C):,0,,
Humidity (%):,74.36,,
Lamp PD:,3576,,
Shift Vector Coefficients:,-1.66903,0.0218938,-6.22E-05
Pixel to Wavelength Coefficients:,1813.49,-0.916957,-0.000241161
Serial Number:,6110023,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,7.03,,
Exposure (ms):,0.635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.455,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.398183,1.098688,66710,5315
905.331226,1.098689,78157,6227
909.259927,1.098462,86609,6904
913.184288,1.103647,93489,7364
917.104308,1.107404,100845,7875
921.019987,1.097434,109482,8748
924.931325,1.091096,119909,9722
930.13969,1.09562,137192,11008
934.0409,1.093135,152853,12335
937.937768,1.089318,169744,13819
941.830296,1.083261,186508,15397
945.718482,1.082291,202505,16755
949.602328,1.081044,217278,18029
953.481833,1.079187,230871,19239
957.356997,1.074762,244614,20593
961.22782,1.075048,258290,21730
965.094302,1.070893,272207,23121
968.956444,1.067431,285930,24481
972.814244,1.056582,299324,26276
976.667703,1.055358,312317,27494
981.798897,1.04973,328323,29280
985.642228,1.044808,339047,30581
989.481217,1.041117,347929,31650
993.315866,1.036254,355969,32746
997.146174,1.032988,362225,33573
1000.972141,1.029455,367316,34323
1004.793768,1.025329,370988,34997
1008.611053,1.021395,373767,35580
1012.423997,1.016766,375552,36133
1016.232601,1.013317,376293,36493
1020.036863,1.008464,376711,36944
1023.836785,1.005774,377323,37234
1028.896595,1.000758,377418,37676
1032.686388,0.99724,377404,37981
1036.47184,0.993962,377110,38239
1040.252951,0.989714,377014,38605
1044.029721,0.986009,376852,38919
1047.80215,0.985764,377578,39016
1051.570239,0.984077,378360,39249
1055.333986,0.981629,379943,39636
1059.093393,0.981343,381341,39808
1062.848459,0.980852,382852,40011
1066.599184,0.981534,385285,40202
1070.345568,0.981472,388277,40520
1075.333994,0.983729,391754,40671
1079.070249,0.984136,394773,40946
1082.802163,0.984383,397689,41225
1086.529736,0.987566,400401,41203
1090.252969,0.989807,403068,41264
1093.97186,0.991677,406200,41406
1097.686411,0.994536,409002,41418
1101.396621,0.998299,410878,41249
1105.10249,1.0026,412864,41040
1108.804018,1.006924,415004,40844
1112.501205,1.010452,416484,40658
1116.194051,1.014146,417087,40372
1121.111093,1.018461,418497,40108
1124.793811,1.023313,419748,39781
1128.472187,1.029297,419934,39254
1132.146223,1.037771,420245,38524
1135.815917,1.045672,420439,37847
1139.481271,1.056608,420703,36929
1143.142284,1.067752,420850,36006
1146.798956,1.078386,421771,35212
1150.451287,1.086157,422045,34610
1154.099277,1.091955,422934,34223
1157.742927,1.095432,423730,34014
1161.382235,1.097717,424814,33922
1166.227894,1.100157,426703,33882
1169.857073,1.099659,428315,34049
1173.481912,1.100549,430631,34163
1177.10241,1.101753,433684,34310
1180.718567,1.098822,436430,34761
1184.330383,1.098821,440333,35072
1187.937858,1.09999,446216,35445
1191.540992,1.102502,452603,35745
1195.139786,1.099695,457940,36401
1198.734238,1.098902,464099,36958
1202.324349,1.097011,470422,37625
1205.91012,1.09652,477509,38235
1209.49155,1.094534,484442,38968
1214.260037,1.093252,494430,39889
1217.831338,1.088921,503023,40989
1221.398298,1.087565,510557,41733
1224.960917,1.083024,518370,42817
1228.519195,1.081118,525876,43628
1232.073133,1.077014,534924,44800
1235.622729,1.072969,543735,45964
1239.167985,1.072048,552416,46797
1242.708899,1.068573,560133,47832
1246.245473,1.066856,569272,48805
1249.777706,1.065924,579005,49746
1253.305598,1.062966,587987,50863
1258.002701,1.061893,599694,52004
1261.520465,1.062273,608633,52733
1265.033887,1.060329,616784,53679
1268.542968,1.059618,625091,54491
1272.047709,1.057903,634956,55570
1275.548108,1.058982,645504,56353
1279.044167,1.058067,655587,57354
1282.535885,1.058487,663922,58027
1286.023262,1.059288,671751,58603
1289.506298,1.058686,679680,59377
1292.984993,1.060843,686584,59683
1296.459347,1.062522,693263,60031
1301.085067,1.063937,699708,60392
1304.549292,1.065576,704249,60555
1308.009177,1.066559,708001,60740
1311.46472,1.067783,711016,60827
1314.915923,1.068582,714948,61051
1318.362785,1.070244,718007,61078
1321.805306,1.071638,720446,61089
1325.243486,1.072159,721901,61139
1328.677325,1.073375,722847,61048
1332.106823,1.073766,724020,61092
1335.53198,1.074425,724288,61022
1338.952797,1.075007,723120,60842
1343.507133,1.075366,722219,60716
1346.91782,1.076639,721047,60440
1350.324167,1.077532,719268,60167
1353.726173,1.079552,716267,59638
1357.123838,1.081723,714485,59193
1360.517162,1.08331,712680,58828
1363.906145,1.084253,710356,58509
1367.290787,1.082993,707390,58434
1370.671089,1.082165,704592,58314
1374.047049,1.081837,702177,58158
1377.418669,1.084668,700827,57669
1380.785947,1.085384,698550,57387
1384.148885,1.084956,697218,57334
1388.62605,1.084172,697174,57434
1391.978858,1.085368,696224,57198
1395.327327,1.086671,693847,56832
1398.671454,1.089989,692095,56257
1402.01124,1.091154,690007,55937
1405.346685,1.094258,687514,55338
1408.67779,1.097167,684705,54744
1412.004553,1.101422,682706,54052
1415.326976,1.104708,680752,53491
1418.645058,1.107632,678470,52954
1421.958799,1.110597,676178,52416
1425.268199,1.112758,674481,52025
1429.67398,1.115488,673255,51605
1432.973251,1.11926,671666,51038
1436.268181,1.120943,670192,50729
1439.55877,1.123239,670398,50477
1442.845019,1.124454,669786,50290
1446.126927,1.125213,668555,50110
1449.404493,1.126473,667527,49888
1452.677719,1.126468,667145,49860
1455.946604,1.128503,666259,49561
1459.211148,1.129585,664888,49336
1462.471351,1.129001,662596,49232
1465.727213,1.129952,660339,48957
1470.06161,1.129699,657083,48744
1473.307344,1.130552,654268,48440
1476.548736,1.129469,651345,48344
1479.785788,1.131759,649168,47929
1483.018499,1.130948,646768,47841
1486.246869,1.129559,643543,47755
1489.470897,1.129086,640272,47564
1492.690586,1.13053,637177,47177
1495.905933,1.129879,633998,47012
1499.116939,1.128814,630441,46863
1502.323604,1.12908,626492,46541
1505.525929,1.128304,622498,46327
1509.788942,1.129083,617236,45853
1512.981138,1.127573,613309,45720
1516.168993,1.128777,608165,45211
1519.352506,1.131713,604219,44615
1522.531679,1.134841,599460,43946
1525.706511,1.139307,594149,43111
1528.877003,1.138412,588992,42825
1532.043153,1.136651,583636,42608
1535.204962,1.134564,577975,42398
1538.362431,1.133505,571876,42053
1541.515558,1.131975,566044,41771
1544.664345,1.128365,559692,41647
1548.855975,1.124768,550650,41315
1551.994632,1.124439,544014,40848
1555.128949,1.125453,537009,40228
1558.258926,1.122958,529951,39928
1561.384561,1.124682,522425,39205
1564.505855,1.122357,514612,38826
1567.622808,1.124789,506919,38032
1570.735421,1.121885,498813,37675
1573.843693,1.121355,490337,37080
1576.947623,1.122194,481799,36364
1580.047213,1.12157,473169,35764
1583.142462,1.122588,464240,35007
1586.23337,1.119152,454846,34571
1590.347828,1.119597,443037,33639
1593.428607,1.119672,433603,32917
1596.505046,1.118078,424822,32369
1599.577143,1.116574,415467,31766
1602.6449,1.115436,405875,31114
1605.708315,1.114262,396167,30452
1608.76739,1.111961,386270,29849
1611.822124,1.11075,377335,29240
1614.872517,1.105275,367141,28811
1617.918569,1.103979,357522,28140
1620.96028,1.103739,348309,27430
1623.99765,1.10022,339503,26954
1628.040725,1.098697,327369,26082
1631.067966,1.10047,318336,25259
1634.090867,1.097119,309136,24719
1637.109426,1.098937,300336,23915
1640.123645,1.094468,291009,23412
1643.133523,1.095031,281990,22657
1646.13906,1.093672,272399,21955
1649.140256,1.090988,262607,21297
1652.137111,1.091225,252745,20486
1655.129625,1.083155,241734,19961
1658.117799,1.078702,229810,19172
1661.101631,1.067257,215801,18484
1665.073322,1.05021,193911,17274
1668.047026,1.03454,174674,16132
1671.016388,1.014106,154518,14958
1673.98141,0.99088,134114,13696
1676.942091,0.966928,114602,12367
1679.898431,0.948241,96807,10906
1682.85043,0.942565,81602,9314
1685.798089,0.933295,68378,7973
1688.741406,0.92529,57834,6869
